S,D,M,S2,S3,D2,D3,genespace,nongenspace,gene,nongenic,DnDs,Dn,Ds,duO,duEst,RNS,mu_g_obs,mu_ref,gene_exp,ns_exp_mu,s_exp_mu,nc_exp_mu,dmu_ns,dmu_s,dmu_nc,duO_reduction,duEst_reduction,dmu_ns_reduction,dmu_s_reduction,dmu_nc_reduction,chi_DnDs,DnDs_p,gene_rate,ref_rate
0,0,0.25,0,0,0,0,4000,4000,1869,7076,2.01273885350318,948,471,0.264132278123233,0.263284341435839,-0.000847936687394008,0.46725,1.769,7076,3538,1769,1769,0.267947993216507,0.266252119841719,0.254381006218202,0.735867721876767,0.736715658564161,0.732052006783493,0.733747880158282,0.745618993781798,0.910325756357089,0.0408031693576666,2.59583333333333,9.82777777777778
0,0,0.4375,0,0,0,0,4000,4000,3281,7168,1.89725209080048,1588,837,0.457728794642857,0.4697265625,0.0119977678571429,0.82025,1.792,7168,3584,1792,1792,0.443080357142857,0.467075892857143,0.477678571428571,0.542271205357143,0.5302734375,0.556919642857143,0.532924107142857,0.522321428571429,0.216872177873848,0.663796159239296,4.55694444444444,9.95555555555555
0,0,0.625,0,0,0,0,4000,4000,4747,7215,2.05927180355631,2432,1181,0.657934857934858,0.648232848232848,-0.0097020097020097,1.18675,1.80375,7215,3607.5,1803.75,1803.75,0.674151074151074,0.654747054747055,0.628690228690229,0.342065142065142,0.351767151767152,0.325848925848926,0.345252945252945,0.371309771309771,0.410239391383422,0.386962640800673,6.59305555555555,10.0208333333333
0,0,0.8125,0,0,0,0,4000,4000,6024,7436,1.98610191925877,3001,1511,0.810112963959118,0.812937062937063,0.00282409897794513,1.506,1.859,7436,3718,1859,1859,0.807154384077461,0.812802582033351,0.813340505648198,0.189887036040882,0.187062937062937,0.192845615922539,0.187197417966649,0.186659494351802,0.825041916009753,0.0835239866872751,8.36666666666667,10.3277777777778
0,0,1,0,0,0,0,4000,4000,7514,7421,1.92819706498952,3679,1908,1.01253200377308,1.03099312761083,0.0184611238377577,1.8785,1.85525,7421,3710.5,1855.25,1855.25,0.991510578089206,1.02843282576472,1.03867403314917,-0.0125320037730765,-0.0309931276108342,0.00848942191079372,-0.0284328257647217,-0.0386740331491713,0.194963937222519,0.710045713322982,10.4361111111111,10.3069444444444
0.001,0,0.25,0,0,0,0,4000,4000,1869,7378,2.11409395973154,945,447,0.253320683111954,0.246408240715641,-0.00691244239631337,0.46725,1.8445,7378,3689,1844.5,1844.5,0.256166982922201,0.242342098129574,0.258606668473841,0.746679316888046,0.753591759284359,0.743833017077799,0.757657901870426,0.741393331526159,0.333756534449672,0.476570222713049,2.59583333333333,10.2472222222222
0.001,0,0.4375,0,0,0,0,4000,4000,3228,7418,2.03059975520196,1659,817,0.435157724454031,0.431787543812348,-0.00337018064168239,0.807,1.8545,7418,3709,1854.5,1854.5,0.447290374764087,0.440550013480723,0.405500134807226,0.564842275545969,0.568212456187652,0.552709625235913,0.559449986519278,0.594499865192774,0.722392748175769,0.141226622388702,4.48333333333333,10.3027777777778
0.001,0,0.625,0,0,0,0,4000,4000,4691,7586,2.22922374429224,2441,1095,0.618375955707883,0.585288689691537,-0.0330872660163459,1.17275,1.8965,7586,3793,1896.5,1896.5,0.643553915106776,0.577379383074084,0.609016609543897,0.381624044292117,0.414711310308463,0.356446084893224,0.422620616925916,0.390983390456103,0.00283844388176034,2.54691968769284,6.51527777777778,10.5361111111111
0.001,0,0.8125,0,0,0,0,4000,4000,5880,7396,1.90388413429888,2892,1519,0.795024337479719,0.814764737696052,0.0197404002163332,1.47,1.849,7396,3698,1849,1849,0.782044348296376,0.821525148729043,0.79448350459708,0.204975662520281,0.185235262303948,0.217955651703624,0.178474851270957,0.205516495402921,0.120083452052689,0.920516835872339,8.16666666666667,10.2722222222222
0.001,0,1,0,0,0,0,4000,4000,7444,7474,2.05027322404372,3752,1830,0.995986085094996,0.983676746052984,-0.0123093390420123,1.861,1.8685,7474,3737,1868.5,1868.5,1.004013914905,0.979395236820979,0.996521273748997,0.00401391490500402,0.0163232539470163,-0.00401391490500402,0.0206047631790206,0.00347872625100343,0.383907719749391,0.415773154850936,10.3388888888889,10.3805555555556
0.01,0,0.25,0,0,0,0,4000,4000,1843,7194,2.14840182648402,941,438,0.256185710314151,0.247150403113706,-0.00903530720044481,0.46075,1.7985,7194,3597,1798.5,1798.5,0.261606894634418,0.243536280233528,0.25799277175424,0.743814289685849,0.752849596886294,0.738393105365582,0.756463719766472,0.74200722824576,0.215826436697602,0.665895359427513,2.55972222222222,9.99166666666667
0.01,0,0.4375,0,0,0,0,4000,4000,3331,7334,2.03125,1690,832,0.454185983092446,0.450640850831743,-0.00354513226070357,0.83275,1.8335,7334,3667,1833.5,1833.5,0.460867193891464,0.453776929370057,0.441232615216799,0.545814016907554,0.549359149168257,0.539132806108536,0.546223070629943,0.558767384783202,0.714299213001002,0.146119828371202,4.62638888888889,10.1861111111111
0.01,0,0.625,0,0,0,0,4000,4000,4578,7346,2.04159292035398,2307,1130,0.623196297304656,0.616798257555132,-0.00639803974952355,1.1445,1.8365,7346,3673,1836.5,1836.5,0.62809692349578,0.615300843996733,0.62129049823033,0.376803702695344,0.383201742444868,0.37190307650422,0.384699156003267,0.378709501769671,0.570793975707202,0.243520619178495,6.35833333333333,10.2027777777778
0.01,0,0.8125,0,0,0,0,4000,4000,6043,7507,1.95893089960887,3005,1534,0.804982016784335,0.813374184094845,0.00839216731051019,1.51075,1.87675,7507,3753.5,1876.75,1876.75,0.800586119621686,0.817370454242707,0.801385373651259,0.195017983215665,0.186625815905155,0.199413880378314,0.182629545757293,0.198614626348741,0.50847174560191,0.29373317463917,8.39305555555555,10.4263888888889
0.01,0,1,0,0,0,0,4000,4000,7332,7339,2.02041942604857,3661,1812,0.999046191579234,0.994004632783758,-0.00504155879547622,1.833,1.83475,7339,3669.5,1834.75,1834.75,0.997683608120997,0.987600490530045,1.0132170595449,0.000953808420765867,0.00599536721624205,0.00231639187900257,0.0123995094699551,-0.013217059544897,0.723600990786816,0.140500847156403,10.1833333333333,10.1930555555556
0.03,0,0.25,0,0,0,0,4000,4000,1826,7439,2.03174603174603,896,441,0.245463099879016,0.243581126495497,-0.00188197338351929,0.4565,1.85975,7439,3719.5,1859.75,1859.75,0.240892593090469,0.237128646323431,0.262938567011695,0.754536900120984,0.756418873504503,0.759107406909531,0.762871353676569,0.737061432988305,0.786593450616559,0.104249673961016,2.53611111111111,10.3319444444444
0.03,0,0.4375,0,0,0,0,4000,4000,3270,7483,2.02325581395349,1653,817,0.436990511826807,0.434451423225979,-0.00253908860082854,0.8175,1.87075,7483,3741.5,1870.75,1870.75,0.441801416544167,0.43672323934251,0.427635974876386,0.563009488173193,0.565548576774021,0.558198583455833,0.56327676065749,0.572364025123614,0.786908359335658,0.104075841150696,4.54166666666667,10.3930555555556
0.03,0,0.625,0,0,0,0,4000,4000,4617,7436,1.98442906574394,2294,1156,0.620898332436794,0.623318988703604,0.00242065626681011,1.15425,1.859,7436,3718,1859,1859,0.616998386229156,0.621839698762776,0.627756858526089,0.379101667563206,0.376681011296396,0.383001613770845,0.378160301237224,0.372243141473911,0.828446406825464,0.0817355813578649,6.4125,10.3277777777778
0.03,0,0.8125,0,0,0,0,4000,4000,6032,7256,1.96506262359921,2981,1517,0.831312017640573,0.83861631753032,0.00730429988974642,1.508,1.814,7256,3628,1814,1814,0.821664829106946,0.836273428886439,0.845644983461962,0.168687982359427,0.16138368246968,0.178335170893054,0.163726571113561,0.154355016538038,0.576302834216861,0.239349244583634,8.37777777777778,10.0777777777778
0.03,0,1,0,0,0,0,4000,4000,7375,7402,1.93108974358974,3615,1872,0.99635233720616,1.01378005944339,0.0174277222372332,1.84375,1.8505,7402,3701,1850.5,1850.5,0.976763037017022,1.01161848149149,1.02026479329911,0.00364766279383955,-0.0137800594433937,0.0232369629829776,-0.0116184814914888,-0.0202647932991082,0.218164729340651,0.661215460396985,10.2430555555556,10.2805555555556
0.05,0,0.25,0,0,0,0,4000,4000,1813,7385,1.74751491053678,879,503,0.245497630331754,0.262694651320244,0.0171970209884902,0.45325,1.84625,7385,3692.5,1846.25,1846.25,0.238050101557211,0.272444143534191,0.233446174678402,0.754502369668247,0.737305348679756,0.76194989844279,0.727555856465809,0.766553825321598,0.0157069855383703,1.80390715612298,2.51805555555556,10.2569444444444
0.05,0,0.4375,0,0,0,0,4000,4000,3178,7356,1.85119047619048,1555,840,0.432028276237085,0.449021207177814,0.0169929309407287,0.7945,1.839,7356,3678,1839,1839,0.422784121805329,0.456769983686786,0.425774877650897,0.567971723762915,0.550978792822186,0.577215878194671,0.543230016313214,0.574225122349103,0.0709024196956069,1.14933894334277,4.41388888888889,10.2166666666667
0.05,0,0.625,0,0,0,0,4000,4000,4453,7410,1.9359649122807,2207,1140,0.600944669365722,0.610796221322537,0.00985155195681511,1.11325,1.8525,7410,3705,1852.5,1852.5,0.595681511470985,0.615384615384615,0.597031039136302,0.399055330634278,0.389203778677463,0.404318488529015,0.384615384615385,0.402968960863698,0.372266159444083,0.429146441178003,6.18472222222222,10.2916666666667
0.05,0,0.8125,0,0,0,0,4000,4000,5865,7481,1.87631578947368,2852,1520,0.783986098115225,0.809116428284989,0.0251303301697634,1.46625,1.87025,7481,3740.5,1870.25,1870.25,0.762464911108141,0.812725571447668,0.798288998796952,0.216013901884775,0.190883571715011,0.237535088891859,0.187274428552333,0.201711001203048,0.0443789338264051,1.35282313560719,8.14583333333333,10.3902777777778
0.05,0,1,0,0,0,0,4000,4000,7501,7487,2.0026413100898,3791,1893,1.00186990784026,1.00120208361159,-0.000667824228663016,1.87525,1.87175,7487,3743.5,1871.75,1871.75,1.0126886603446,1.01135301188727,0.97074929878456,-0.00186990784025642,-0.00120208361159335,-0.0126886603445973,-0.0113530118872713,0.02925070121544,0.962596789922176,0.0165555909460174,10.4180555555556,10.3986111111111
0.1,0,0.25,0,0,0,0,4000,4000,1769,7529,1.97447795823666,851,431,0.234958161774472,0.236419179173861,0.00146101739938903,0.44225,1.88225,7529,3764.5,1882.25,1882.25,0.226059237614557,0.228981272413335,0.258732899455439,0.765041838225528,0.763580820826139,0.773940762385443,0.771018727586665,0.741267100544561,0.828023698797628,0.0819572331308818,2.45694444444444,10.4569444444444
0.1,0,0.4375,0,0,0,0,4000,4000,3321,7428,2.09850374064838,1683,802,0.447092084006462,0.436456650511578,-0.0106354334948842,0.83025,1.857,7428,3714,1857,1857,0.453150242326333,0.431879375336564,0.450188476036618,0.552907915993538,0.563543349488422,0.546849757673667,0.568120624663436,0.549811523963382,0.262460056306375,0.580936782336891,4.6125,10.3166666666667
0.1,0,0.625,0,0,0,0,4000,4000,4655,7339,1.98085291557876,2276,1149,0.634282599809238,0.637280283417359,0.002997683608121,1.16375,1.83475,7339,3669.5,1834.75,1834.75,0.620247990189399,0.626243357405641,0.670391061452514,0.365717400190762,0.362719716582641,0.379752009810601,0.373756642594359,0.329608938547486,0.790382675387443,0.102162587734819,6.46527777777778,10.1930555555556
0.1,0,0.8125,0,0,0,0,4000,4000,5850,7407,1.91890080428954,2863,1492,0.789793438639125,0.806129337113541,0.0163358984744161,1.4625,1.85175,7407,3703.5,1851.75,1851.75,0.773052517888484,0.805724314837316,0.807344403942217,0.210206561360875,0.193870662886459,0.226947482111516,0.194275685162684,0.192655596057783,0.194799403370631,0.710412377607503,8.125,10.2875
0.1,0,1,0,0,0,0,4000,4000,7454,7356,1.93603411513859,3632,1876,1.01332245785753,1.02963567156063,0.0163132137030995,1.8635,1.839,7356,3678,1839,1839,0.987493202827624,1.02011963023382,1.05818379554105,-0.0133224578575313,-0.0296356715606307,0.0125067971723762,-0.0201196302338227,-0.0581837955410549,0.252904135088742,0.597044069700509,10.3527777777778,10.2166666666667
0.5,0,0.25,0,0,0,0,4000,4000,1813,7560,1.96171171171171,871,444,0.239814814814815,0.242063492063492,0.00224867724867725,0.45325,1.89,7560,3780,1890,1890,0.23042328042328,0.234920634920635,0.263492063492064,0.760185185185185,0.757936507936508,0.76957671957672,0.765079365079365,0.736507936507937,0.740274038466931,0.130607481130102,2.51805555555556,10.5
0.5,0,0.4375,0,0,0,0,4000,4000,3191,7477,1.87926829268293,1541,820,0.426775444697071,0.440016049217601,0.0132406045205296,0.79775,1.86925,7477,3738.5,1869.25,1869.25,0.412197405376488,0.438678614417547,0.444028353617761,0.573224555302929,0.559983950782399,0.587802594623512,0.561321385582453,0.555971646382239,0.149670723430628,0.824863142181868,4.43194444444444,10.3847222222222
0.5,0,0.625,0,0,0,0,4000,4000,4413,7347,1.88240495137047,2129,1131,0.600653327888934,0.618755954811488,0.0181026269225534,1.10325,1.83675,7347,3673.5,1836.75,1836.75,0.579556281475432,0.615761535320539,0.627739213284334,0.399346672111066,0.381244045188512,0.420443718524568,0.384238464679461,0.372260786715666,0.0995313546349368,1.00204008508488,6.12916666666667,10.2041666666667
0.5,0,0.8125,0,0,0,0,4000,4000,5830,7319,1.84241628365069,2806,1523,0.796556906681241,0.829348271621806,0.0327913649405657,1.4575,1.82975,7319,3659.5,1829.75,1829.75,0.766771416860227,0.832354146741358,0.820330646263151,0.203443093318759,0.170651728378194,0.233228583139773,0.167645853258642,0.179669353736849,0.00989997584725232,2.00436586493961,8.09722222222222,10.1652777777778
0.5,0,1,0,0,0,0,4000,4000,7203,7429,1.88608981380066,3444,1826,0.969578678153183,0.997577062861758,0.0279983847085745,1.80075,1.85725,7429,3714.5,1857.25,1857.25,0.927177278233948,0.983174047651097,1.04078610849374,0.0304213218468166,0.00242293713824204,0.072822721766052,0.0168259523489029,-0.0407861084937406,0.0427630691722973,1.36893113235104,10.0041666666667,10.3180555555556
1,0,0.25,0,0,0,0,4000,4000,1710,7500,1.88452655889146,816,433,0.228,0.234666666666667,0.00666666666666667,0.4275,1.875,7500,3750,1875,1875,0.2176,0.230933333333333,0.245866666666667,0.772,0.765333333333333,0.7824,0.769066666666667,0.754133333333333,0.317116853821684,0.498780675893922,2.375,10.4166666666667
1,0,0.4375,0,0,0,0,4000,4000,3072,7528,1.79323308270677,1431,798,0.40807651434644,0.42999468650372,0.0219181721572795,0.768,1.882,7528,3764,1882,1882,0.380180658873539,0.424017003188098,0.447927736450585,0.59192348565356,0.570005313496281,0.619819341126461,0.575982996811902,0.552072263549416,0.0134647591365944,1.87080141102956,4.26666666666667,10.4555555555556
1,0,0.625,0,0,0,0,4000,4000,4453,7534,1.69065343258892,2044,1209,0.591053889036369,0.640695513671357,0.0496416246349881,1.11325,1.8835,7534,3767,1883.5,1883.5,0.54260684895142,0.641890098221396,0.637111760021237,0.408946110963632,0.359304486328643,0.45739315104858,0.358109901778604,0.362888239978763,3.53913754285864e-06,5.45110255888162,6.18472222222222,10.4638888888889
1,0,0.8125,0,0,0,0,4000,4000,5744,7393,1.87381916329285,2777,1482,0.7769511700257,0.80224536723928,0.0252941972135804,1.436,1.84825,7393,3696.5,1848.25,1848.25,0.751251183552009,0.801839577979169,0.803462735019613,0.2230488299743,0.19775463276072,0.248748816447991,0.198160422020831,0.196537264980387,0.042748844600404,1.36907561872411,7.97777777777778,10.2680555555556
